location_id,project_id,classification,technology,upload_speed_anticipated,download_speed_anticipated,low_latency
1014478491,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014478493,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014478517,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014478519,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014478529,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014478533,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014478557,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014478558,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014478559,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014478575,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014478576,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014478855,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014478859,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014478861,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014478867,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014478868,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014478873,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014478876,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014478882,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014478890,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014478951,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014480321,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014480353,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014480360,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014480369,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014480370,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014480373,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014480377,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014480380,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014480382,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014480383,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014480394,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014480395,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014480887,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014480901,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014480902,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014480904,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014480907,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014480910,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014480911,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014480912,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014480914,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014480915,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014480917,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014480918,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014480919,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014480920,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014480921,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014480924,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014480925,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014480926,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014480928,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014480929,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014480930,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014480932,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014480933,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014480934,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014480936,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014480937,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014480938,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014480939,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014480940,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014480941,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014480942,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014480943,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014480946,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014480947,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014480948,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014480950,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014480951,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014480952,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014480953,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014480954,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014480956,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014480957,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014484105,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014484150,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014484425,CM61-BEAD-LA-136-3004,1,50,50,200,1
