state,uei,uei_name,frn
LA,J62DC55MMLN4,Skyrider Communications LLC,0021883640
LA,Z3L1RNCCH731,Northeast Telephone Services Inc dba Pelican Broadband,0003758588
LA,LNFLN7M7JJ75,Star Telephone Co Inc,0004274007
LA,JWYXBY1U3ML3,Connect Holding II LLC ~ Division Name: Brightspeed,0031304405
LA,VJ5HRDMWAPW8,"Conexon Connect, LLC",0029721511
LA,YE1WP3DS5E37,"Bellsouth Telecommunications, LLC ~ Division Name: AT&T Southeast",0001857952
LA,UT33SAM5N686,"CableSouth Media III, LLC d/b/a SwyftFiber",0018269993
LA,CLDKC67YLL67,"AMG Technology Investment Group, LLC ",0021701891
LA,LS4YCFB8JV75,Coushatta Tribe of Louisiana,0033642570
LA,F4TGYGJJ5KS6,Cajun Broadband Inc,0026932426
LA,XG3KMFK12C22,"Comcast Cable Communications, LLC",0003768165
LA,S5P7EV1W4HP7,"Reserve Communications and Computer, L.L.C",0009873712 
LA,C6M7C2FLKER5,SPACE EXPLORATION TECHNOLOGIES CORP.,0026043968
