type,entity_name,location_id,project_id,address_primary,city,state,zip_code,latitude,longitude,technology,upload_speed_anticipated,download_speed_anticipated,,
F,BEAUREGARD VOLUNTEER FIRE PROTECTION DISTRICT 3 SUGARTOWN STATION,1028492735,CM61-BEAD-LA-DN-Multiple,3141 STATE HIGHWAY 113,SUGARTOWN,LA,70662,30.80375099182129,-93.01432037,61,20,100,,1
L,"INDIAN BRANCH HUNTING CLUB, INC.",1028492803,CM61-BEAD-LA-DN-Multiple,3695 HIGHWAY 113,SUGARTOWN,LA,70662,30.78898811340332,-93.0138855,61,20,100,,1
S,EAST BEAUREGARD ELEMENTARY SCHOOL,1028504722,CM61-BEAD-LA-DN-Multiple,5368 HIGHWAY 113,DERIDDER,LA,70634,30.745080947875977,-93.02780914,61,20,100,,1
L,JOHNSON BAYOU LIBRARY,1108141721,CM61-BEAD-LA-DN-Multiple,4586 GULF BEACH HIGHWAY,CAMERON,LA,70631,29.761890411376953,-93.5823822,61,20,100,,1
S,JOHNSON BAYOU HIGH SCHOOL,1108144438,CM61-BEAD-LA-DN-Multiple,6304 GULF BEACH HIGHWAY,CAMERON,LA,70631,29.762828826904297,-93.69513702,61,20,100,,1
F,FIRE PROTECTION DISTRICT 2 WARD 3,1305883276,CM61-BEAD-LA-DN-Multiple,9248 GULF HIGHWAY,LAKE CHARLES,LA,70607,30.06964111328125,-93.21369934,61,20,100,,1
F,PLAINVIEW COMMUNITY VOLUNTEER FIRE DEPARTMENT,2000003104,CM61-BEAD-LA-DN-Multiple,10941 STATE HIGHWAY 112,GLENMORA,LA,71433,30.93744,-92.76724,61,20,100,,1
S,VINCENT SETTLEMENT ELEMENTARY SCHOOL,1305888065,CM61-BEAD-LA-DN-Multiple,1072 VINCENT SETTLEMENT RD,SULPHUR,LA,70665,30.148387908935547,-93.35967255,61,20,100,,1
F,GRAND LAKE SWEET LAKE VOLUNTEER FIRE DEPARTMENT,2000002630,CM61-BEAD-LA-DN-Multiple,957 STATE HIGHWAY 384,LAKE CHARLES,LA,70605,30.01601,-93.19383,61,20,100,,1
F,CALCASIEU PARISH WARD 1 FIRE PROTECTION DISTRICT 1,2000003493,CM61-BEAD-LA-DN-Multiple,2888 CARDINAL LANE,LAKE CHARLES,LA,70611,30.3614,-93.14267,61,20,100,,1
F,CAMERON PARISH FIRE PROTECTION DISTRICT 9,2000003533,CM61-BEAD-LA-DN-Multiple,1523 OAK GROVE HIGHWAY,GRAND CHENIER,LA,70643,29.77513,-93.0379,61,20,100,,1
L,CAMERON PARISH LIBRARY AND BRANCHES,2000003624,CM61-BEAD-LA-DN-Multiple,983 MAIN ST,HACKBERRY,LA,70645,29.99333,-93.36475,61,20,100,,1
F,DRY CREEK FIRE DISTRICT 3,2000002374,CM61-BEAD-LA-DN-Multiple,8352 STATE HIGHWAY 394,DRY CREEK,LA,70637,30.66909,-93.04543,61,20,100,,1
S,EAST BEAUREGARD HIGH SCHOOL,2000002665,CM61-BEAD-LA-DN-Multiple,5364 HIGHWAY 113,DERIDDER,LA,70634,30.74553,-93.02596,61,20,100,,1
S,ABBEVILLE HIGH SCHOOL,1287637076,CM61-BEAD-LA-330-2001,1305 WILDCAT DR,ABBEVILLE,LA,70510,29.983190536499023,-92.10539246,50,1000,1000,,1
S,"South Louisiana Community College, Gulf Area Campus",1287652978,CM61-BEAD-LA-330-2001,1115 CLOVER ST,ABBEVILLE,LA,70510,29.97820884,-92.12404017,50,1000,1000,,1
S,WEST OUACHITA HIGH SCHOOL,1310705183,CM61-BEAD-LA-DN-Multiple,4061 CAPLES RD,WEST MONROE,LA,71292,32.427764892578125,-92.3374176,61,20,100,,1
S,CENTRAL ELEMENTARY SCHOOL,1310705533,CM61-BEAD-LA-330-2001,1163 HIGHWAY 151 S,CALHOUN,LA,71225,32.485477447509766,-92.35496521,50,1000,1000,,1
S,"VITA (Volunteer Instructors Teaching Adults), Nehemiah Projects of Acadiana",1387785903,CM61-BEAD-LA-330-2001,107 CONCORD ST,ABBEVILLE,LA,70510,29.9738913,-92.13587825,50,1000,1000,,1
F,ABBEVILLE POLICE DEPARTMENT,1413606975,CM61-BEAD-LA-330-2001,304 S STATE ST,ABBEVILLE,LA,70510,29.971040725708008,-92.13676453,50,1000,1000,,1
H,ABBEVILLE GENERAL HOSPITAL,1387788107,CM61-BEAD-LA-330-2001,118 N HOSPITAL DR,ABBEVILLE,LA,70510,29.973398208618164,-92.10844421,50,1000,1000,,1
