type,entity_name,location_id,entity_number,cms_number,frn,project_id,address_primary,city,state,zip_code,latitude,longitude,classification,technology,upload_speed_anticipated,download_speed_anticipated,low_latency
F,JONESVILLE POLICE DEPARTMENT,1136629892,,,,CM61-BEAD-LA-2331,304 MOUND ST,JONESVILLE,LA,71343,31.625930786132812,-91.81459045410156,0,50,1000,1000,1
H,Ochsner Health Center - East Mandeville,1302971169,,19-0036,,CM61-BEAD-LA-2260,3235 E CAUSEWAY APPROACH,MANDEVILLE,LA,70448,30.37410143,-90.08061273,0,50,1000,1000,1
H,CHRISTUS OCHSNER LAKE AREA HOSPITAL,1305798729,,,,CM61-BEAD-LA-2260,4200 NELSON RD,LAKE CHARLES,LA,70605,30.180950164794922,-93.2506103515625,0,50,1000,1000,1
S,AYERS CAREER COLLEGE,1355434596,,,,CM61-BEAD-LA-2260,8820 JEWELLA AVE,SHREVEPORT,LA,71108,32.41830062866211,-93.79818725585938,0,50,1000,1000,1
F,BIENVILLE PARISH SHERIFFS OFFICE / BIENVILLE PARISH JAIL,1077423036,,,,CM61-BEAD-LA-2247,100 COURTHOUSE DR,ARCADIA,LA,71001,32.547119140625,-92.92530822753906,0,50,1000,1000,1
L,PATRONS OF E BATON ROUGE PARISH PUBLIC LIBRARY,1345728525,,,,CM61-BEAD-LA-2260,7711 GOODWOOD BLVD,BATON ROUGE,LA,70806,30.443889617919922,-91.10723876953125,0,50,1000,1000,1
S,JOHN Q. ADAMS MIDDLE SCHOOL,1357682208,,,,CM61-BEAD-LA-2247,5525 HENICAN PLACE,METAIRIE,LA,70003,30.026580810546875,-90.2098159790039,0,50,1000,1000,1
S,CHALMETTE HIGH SCHOOL,1039112029,,,,CM61-BEAD-LA-2260,1100 E JUDGE PEREZ DR,CHALMETTE,LA,70043,29.937658309936523,-89.95357513427734,0,50,1000,1000,1
F,GOULD FIRE COMPANY NUMBER 2,1357760338,,,,CM61-BEAD-LA-2247,501 ANSON ST,GRETNA,LA,70053,29.928468704223633,-90.05335235595703,0,50,1000,1000,1
S,APOLLO ELEMENTARY SCHOOL,1315883866,,,,CM61-BEAD-LA-2260,2400 VIKING DR,BOSSIER CITY,LA,71111,32.553279876708984,-93.71144104003906,0,50,1000,1000,1
H,ACADIAN REGIONAL OFFICE,1304338779,,,,CM61-BEAD-LA-2260,825 KALISTE SALOOM RD,LAFAYETTE,LA,70508,30.17930030822754,-92.01934051513672,0,50,1000,1000,1
S,BATON ROUGE UNIVERSITY PREPARATORY ELEMENTARY,1413580800,,,,CM61-BEAD-LA-2260,7802 HOWELL BLVD,BATON ROUGE,LA,70807,30.51871681213379,-91.15330505371094,0,50,1000,1000,1
H,Ochsner LSU Health Shreveport Fern Avenue,1355471671,,19-0098,,CM61-BEAD-LA-2260,6841 FERN AVE,SHREVEPORT,LA,71105,32.44670769,-93.73014578,0,50,1000,1000,1
S,RISER ELEMENTARY SCHOOL,1413586902,,,,CM61-BEAD-LA-2260,100 PRICE DR,WEST MONROE,LA,71292,32.48823928833008,-92.17672729492188,0,50,1000,1000,1
F,RUSTON FIRE DEPARTMENT,1091113834,,,,CM61-BEAD-LA-2260,920 E GEORGIA AVE,RUSTON,LA,71270,32.53276824951172,-92.6250991821289,0,50,1000,1000,1
S,"Fletcher Technical College, BP Integrated Production Technologies Bldg.",1293496658,,,,CM61-BEAD-LA-2260,224 WEATHERFORD DR,SCHRIEVER,LA,70395.0,29.69327134,-90.80903467,0,50,1000,1000,1
H,BATON ROUGE VETERANS OUTPATIENT CLINIC,1345724395,,,,CM61-BEAD-LA-2260,7968 ESSEN PARK,BATON ROUGE,LA,70809,30.403831481933594,-91.10054016113281,0,50,1000,1000,1
F,BIENVILLE PARISH FIRE PROTECTION DISTRICT WARDS 4 AND 5 STATION 7,1077411867,,,,CM61-BEAD-LA-2221,309 STATE HIGHWAY 154,RINGGOLD,LA,71068,32.31780242919922,-93.40936279296875,0,50,1000,1000,1
S,ALEXANDRIA MIDDLE MAGNET SCHOOL,1119576856,,,,CM61-BEAD-LA-2260,122 MARYLAND AVE,ALEXANDRIA,LA,71301,31.300016403198242,-92.4745864868164,0,50,1000,1000,1
S,BUNKIE ELEMENTARY SCHOOL,1051822736,,,11782604,CM61-BEAD-LA-2260,311 PERSHING AVE,BUNKIE,LA,71322,30.948551177978516,-92.18343353271484,0,50,1000,1000,1
F,RAYNE POLICE DEPARTMENT / RAYNE CITY JAIL,1293173749,,,,CM61-BEAD-LA-2260,200 OAK ST,RAYNE,LA,70578,30.248220443725586,-92.27041625976562,0,50,1000,1000,1
S,UNIVERSITY ELEMENTARY SCHOOL,1355507587,,,11896024,CM61-BEAD-LA-2260,9900 SMITHERMAN DR,SHREVEPORT,LA,71115,32.41374969482422,-93.70387268066406,0,50,1000,1000,1
F,BENTON FIRE DISTRICT 4 STATION 1,1387969363,,,,CM61-BEAD-LA-4047,306 5TH ST,BENTON,LA,71006,32.698158264160156,-93.7379379272461,0,50,1000,1000,1
H,STERLING SURGICAL HOSPITAL,1303036793,,,,CM61-BEAD-LA-3894,989 ROBERT BLVD,SLIDELL,LA,70458,30.29174041748047,-89.77086639404297,0,71,1000,1000,1
S,"VITA (Volunteer Instructors Teaching Adults), Acadia Parish",1293136533,,,,CM61-BEAD-LA-2260,300 N ROGERS ST,CHURCH POINT,LA,70525,30.40701072,-92.21662833,0,50,1000,1000,1
F,OPELOUSAS FIRE DEPARTMENT MAIN STATION,1413599588,,,,CM61-BEAD-LA-2260,1334 S UNION ST,OPELOUSAS,LA,70570,30.520601272583008,-92.08257293701172,0,50,1000,1000,1
F,BEAUREGARD VOLUNTEER FIRE PROTECTION DISTRICT 2 LONGVILLE STATION,1028492001,,,,CM61-BEAD-LA-2260,11078 US HIGHWAY 171,LONGVILLE,LA,70652,30.604248046875,-93.23292541503906,0,50,1000,1000,1
S,ST SCHOLASTICA ACADEMY,1303018072,,,,CM61-BEAD-LA-2260,122 S MASSACHUSETTS ST,COVINGTON,LA,70433,30.47404670715332,-90.09832000732422,0,50,1000,1000,1
L,TANGIPAHOA PARISH LIBRARY,1313924133,,,,CM61-BEAD-LA-2247,314 E THOMAS ST,HAMMOND,LA,70401,30.504531860351562,-90.45799255371094,0,50,1000,1000,1
S,"Baton Rouge Community College, Jumonville Campus",1025423499,,,,CM61-BEAD-LA-2260,605 HOSPITAL RD,NEW ROADS,LA,70760,30.68654167,-91.46791246,0,50,1000,1000,1
S,MARY GOFF ELEMENTARY SCHOOL,1119617425,,,,CM61-BEAD-LA-2260,6900 SHREVEPORT HIGHWAY,PINEVILLE,LA,71360,31.410890579223633,-92.4614028930664,0,50,1000,1000,1
F,OUACHITA PARISH FIRE PROTECTION DISTRICT 1 STATION 4 KING STREET,1310661493,,,,CM61-BEAD-LA-2247,514 KING ST,WEST MONROE,LA,71292,32.465553283691406,-92.17078399658203,0,50,1000,1000,1
F,SAINT TAMMANY PARISH FIRE DISTRICT 6 STATION 1,1303068689,,,,CM61-BEAD-LA-2247,79029 STATE HIGHWAY 437,COVINGTON,LA,70435,30.57838249206543,-90.07603454589844,0,50,1000,1000,1
L,ACADIA PARISH LIBRARY,1293144011,,,11752755,CM61-BEAD-LA-2260,1125 N PARKERSON AVE,CROWLEY,LA,70526,30.220191955566406,-92.3775863647461,0,50,1000,1000,1
H,GREEN CLINIC SURGICAL HOSPITAL,1091118202,,,,CM61-BEAD-LA-2260,1118 S FARMERVILLE ST,RUSTON,LA,71270,32.517459869384766,-92.63195037841797,0,50,1000,1000,1
S,EAST NATCHITOCHES ELEMENTARY & MIDDLE SCHOOL,1118348712,,,,CM61-BEAD-LA-2260,1001 E FIFTH ST,NATCHITOCHES,LA,71457,31.766677856445312,-93.07622528076172,0,50,1000,1000,1
F,RAYVILLE VOLUNTEER FIRE DEPARTMENT,1413583164,,,,CM61-BEAD-LA-2331,902 HARRISON ST,RAYVILLE,LA,71269,32.477901458740234,-91.75908660888672,0,50,1000,1000,1
L,"FOX BRANCH HUNTING CLUB, INC.",1051836155,,,,CM61-BEAD-LA-2260,788 BUSINESS LOOP RD,MARKSVILLE,LA,71351,31.11631202697754,-92.14908599853516,0,50,1000,1000,1
S,WOODLAWN HIGH SCHOOL,1345641074,,,11813623,CM61-BEAD-LA-2260,15755 JEFFERSON HIGHWAY,BATON ROUGE,LA,70817,30.374040603637695,-91.0117416381836,0,50,1000,1000,1
S,JUDSON FUNDAMENTAL ELEMENTARY SCHOOL,1355424331,,,11891447,CM61-BEAD-LA-2260,3809 JUDSON ST,SHREVEPORT,LA,71109,32.48814010620117,-93.79945373535156,0,50,1000,1000,1
F,LITTLE CREEK - SEARCY VOLUNTEER FIRE DEPARTMENT,1103479828,,,,CM61-BEAD-LA-2260,133 MELODY ACRES RD,TROUT,LA,71371,31.71554183959961,-92.26625061035156,0,50,1000,1000,1
S,GREEN T. LINDON ELEMENTARY SCHOOL,1304410521,,,,CM61-BEAD-LA-2260,603 AVE B,YOUNGSVILLE,LA,70592,30.094369888305664,-91.997802734375,0,50,1000,1000,1
H,UNION GENERAL HOSPITAL,1053552191,,,,CM61-BEAD-LA-2331,901 JAMES AVE,FARMERVILLE,LA,71241,32.78764724731445,-92.39237976074219,0,50,1000,1000,1
S,RUSHEON MIDDLE SCHOOL,1315846581,,,,CM61-BEAD-LA-2260,2401 OLD MINDEN RD,BOSSIER CITY,LA,71112,32.52061080932617,-93.70463562011719,0,50,1000,1000,1
F,RIDGECREST VOLUNTEER FIRE DEPARTMENT,1287204234,,,,CM61-BEAD-LA-2260,116 FOSTER DR,RIDGECREST,LA,71334,31.606428146362305,-91.52396392822266,0,50,1000,1000,1
S,LIVING WORD ACADEMY,1355416780,,,,CM61-BEAD-LA-2260,4730 LINWOOD AVE,SHREVEPORT,LA,71108,32.45749282836914,-93.76335906982422,0,50,1000,1000,1
S,JAKE DROST SCHOOL FOR EXCEPTIONAL CHILDREN,1305810772,,,,CM61-BEAD-LA-2260,1100 N CROCKER ST,SULPHUR,LA,70663,30.252090454101562,-93.3800048828125,0,50,1000,1000,1
F,SINGER VOLUNTEER FIRE DEPARTMENT BEAUREGARD FIRE DISTRICT 1,1028506177,,,,CM61-BEAD-LA-2260,9068 STATE HIGHWAY 27,SINGER,LA,70660,30.656461715698242,-93.41252136230469,0,50,1000,1000,1
F,SAINT TAMMANY PARISH FIRE PROTECTION DISTRICT3 STATION 33,1303080455,,,,CM61-BEAD-LA-2247,64110 STATE HIGHWAY 434,LACOMBE,LA,70445,30.359268188476562,-89.91506958007812,0,50,1000,1000,1
S,WALNUT HILL ELEMENTARY/MIDDLE SCHOOL,1355526682,,,,CM61-BEAD-LA-2260,9360 WOOLWORTH RD,SHREVEPORT,LA,71129,32.38841247558594,-93.90219116210938,0,50,1000,1000,1
S,INSPIRED CHRISTIAN SCHOOL,1345655062,,,,CM61-BEAD-LA-2260,1350 MAIN ST,BAKER,LA,70714,30.589757919311523,-91.16758728027344,0,50,1000,1000,1
F,BOGALUSA FIRE DEPARTMENT STATION 1,1083162446,,,,CM61-BEAD-LA-2247,200 ARKANSAS AVE,BOGALUSA,LA,70427,30.7861328125,-89.86127471923828,0,50,1000,1000,1
F,CROWLEY FIRE DEPARTMENT - CENTRAL STATION,1293148023,,,,CM61-BEAD-LA-2260,104 W HUTCHINSON AVE,CROWLEY,LA,70526,30.214418411254883,-92.3744888305664,0,50,1000,1000,1
L,BRANCH SLIDELL LIBRARY,1302983881,,,,CM61-BEAD-LA-3894,555 ROBERT BLVD,SLIDELL,LA,70458,30.299047470092773,-89.75989532470703,0,71,1000,1000,1
F,LEESVILLE POLICE DEPARTMENT,1287846932,,,,CM61-BEAD-LA-2260,101 W LEE ST,LEESVILLE,LA,71446,31.143522262573242,-93.26421356201172,0,50,1000,1000,1
