state,uei_name,uei,frn,non_traditional_broadband_provider,provider_type,wbe,mbe,sb,webpage
LA,Skyrider Communications LLC,J62DC55MMLN4,21883640,N,N,N,N,Y,https://arklafiber.net/
LA,Cox Communications Louisiana LLC ,DA2JZ894NEK8,1834696,N,N,N,N,N,www.cox.com
LA,Northeast Telephone Services Inc dba Pelican Broadband,Z3L1RNCCH731,3758588,N,I,N,N,N,pelicanbroadband.com
LA,Star Telephone Co Inc,LNFLN7M7JJ75,4274007,N,I,N,N,Y,Directcom.com
LA,"Spectrum Gulf Coast LLC ~ Owner: Charter Communications, Inc.",MKFDFPS5CZN2,21552963,N,N,N,N,N,www.spectrum.com
LA,Clearpath Fiber L.L.C.,GKY6MG3TWE16,31191778,N,N,N,N,Y,www.clearpathfiber.com
LA,"A2D, Inc.",SMKLQMGZPT47,24196859,N,N,N,Y,Y,www.a2dinc.com
LA,Connect Holding II LLC ~ Division Name: Brightspeed,JWYXBY1U3ML3,31310576,N,I,N,N,N,brightspeed.com
LA,"Conexon Connect, LLC",VJ5HRDMWAPW8,29721511,N,C,N,N,N,conexonconnect.com
LA,Faster Cajun Networks,JB8KQMZFHTP1,28703932,N,N,N,N,Y,www.fastercajun.com
LA,"Bellsouth Telecommunications, LLC ~ Division Name: AT&T Southeast",YE1WP3DS5E37,1857952,N,I,N,N,N,www.att.com
LA,"CableSouth Media III, LLC d/b/a SwyftFiber",UT33SAM5N686,18269993,N,N,N,N,N,www.swyftconnect.com
LA,"LBH, L.L.C.",U9NUJVUL4EE5,11245867,N,I,N,N,N,fastwyre.com
LA,"AMG Technology Investment Group, LLC ",CLDKC67YLL67,21701891,N,N,N,N,N,https://nextlinkinternet.com/
LA,"Fiber Acquisition Operations, LLC DBA PhireLink",RJJ4D7GM4KT4,31651524,N,N,N,N,Y,www.phirelink.com
LA,Coushatta Tribe of Louisiana,LS4YCFB8JV75,,Y,T,,,,coushatta.org
LA,Cajun Broadband Inc,F4TGYGJJ5KS6,26932426,N,N,N,N,Y,www.cajunbroadband.com
LA,"Volt Broadband, LLC",VMZ6YTSEJEL4,30230379,N,C,N,N,N,www.voltbroadband.com
LA,"Comcast Cable Communications, LLC",XG3KMFK12C22,3768165,N,N,N,N,N,www.xfinity.com/overview
LA,"Allen's T.V. Cable Service, Inc. dba Allens Communications",HVNTS3G75D96,3746898,N,N,N,N,Y,www.atvc.net
