state,project_name,project_id,uei,project_description,project_type,priority_broadband_project,estimated_miles_aerial_fiber,estimated_miles_buried_fiber,estimated_jobs,estimated_subaward_date,estimated_performance_start,estimated_performance_end,intersect_tribal,tribal_consent_name,bead_support,fixed_amount_subaward,subgrantee_match,federal_match,state_match,other_match,federal_match_source,notes
NV,McTarnahan Hill,CM61-BEAD-NV-CAR-0907-0,QXVYZFKU8AV5,Digital Technology Solutions INC Dba DTS Fiber has been awarded to serve McTarnahan Hill and expects to have the project completed by 11/30/2028,L,Y,0.0,0.0,2,9/3/2025,10/1/2025,11/30/2028,N,,547762.05,Y,182587,,,,,
NV,Stewart Community Genoa,CM61-BEAD-NV-CAR-0918-2,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Stewart Community Genoa and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,Y,Stewart,1200.0,Y,400,,,,,
NV,Kings Canyon,CM61-BEAD-NV-CAR-0937-0,UNKGTXGFU236,NV Bell Telephone has been awarded to serve Kings Canyon and expects to have the project completed by 9/4/2029,L,Y,0.0,0.0,9,9/3/2025,10/1/2025,9/4/2029,N,,162331.11,Y,1801319,,,,,
NV,Goni,CM61-BEAD-NV-CAR-0939-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Goni and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,1800.0,Y,600,,,,,
NV,Virginia City North Deer Run,CM61-BEAD-NV-CAR-0942-0,TH77JLEPMRA3,Hot Spot Broadband has been awarded to serve Virginia City North Deer Run and expects to have the project completed by 1/30/2027,L,Y,4.0,2.0,2,9/3/2025,10/1/2025,1/30/2027,N,,453889.69,Y,403424,,,,,
NV,Marlette Lake South,CM61-BEAD-NV-CAR-0943-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Marlette Lake South and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,2,9/3/2025,10/1/2025,1/31/2027,N,,16800.0,Y,5600,,,,,
NV,Carson City South Carson,CM61-BEAD-NV-CAR-1011-1,TH77JLEPMRA3,Hot Spot Broadband has been awarded to serve Carson City South Carson and expects to have the project completed by 7/31/2028,L,Y,0.0,0.0,1,9/3/2025,10/1/2025,7/31/2028,N,,232800.95,Y,0,,,,,
NV,Dayton Brunswick Canyon,CM61-BEAD-NV-CAR-1037-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Dayton Brunswick Canyon and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,600.0,Y,200,,,,,
NV,Allen Springs,CM61-BEAD-NV-CHU-0071-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Allen Springs and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,600.0,Y,200,,,,,
NV,Chukar Canyon,CM61-BEAD-NV-CHU-0073-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Chukar Canyon and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,600.0,Y,200,,,,,
NV,Salt Cave,CM61-BEAD-NV-CHU-0074-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Salt Cave and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,600.0,Y,200,,,,,
NV,Lone Rock Southwest,CM61-BEAD-NV-CHU-0075-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Lone Rock Southwest and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,600.0,Y,200,,,,,
NV,Cold Springs Old Overland,CM61-BEAD-NV-CHU-0078-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Cold Springs Old Overland and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,2400.0,Y,800,,,,,
NV,Clan Alpine Ranch,CM61-BEAD-NV-CHU-0080-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Clan Alpine Ranch and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,3000.0,Y,1000,,,,,
NV,Fourmile Flat,CM61-BEAD-NV-CHU-0291-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Fourmile Flat and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,600.0,Y,200,,,,,
NV,Soda Lake Northwest,CM61-BEAD-NV-CHU-0292-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Soda Lake Northwest and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,600.0,Y,200,,,,,
NV,Bunejug Mountains,CM61-BEAD-NV-CHU-0293-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Bunejug Mountains and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,600.0,Y,200,,,,,
NV,Tungsten Mountain,CM61-BEAD-NV-CHU-0295-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Tungsten Mountain and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,600.0,Y,200,,,,,
NV,Dixie Valley,CM61-BEAD-NV-CHU-0296-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Dixie Valley and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,1200.0,Y,400,,,,,
NV,Battleground Point,CM61-BEAD-NV-CHU-0297-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Battleground Point and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,600.0,Y,200,,,,,
NV,Fourmile Canyon,CM61-BEAD-NV-CHU-0299-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Fourmile Canyon and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,600.0,Y,200,,,,,
NV,Dixie Hot Springs Northeast,CM61-BEAD-NV-CHU-0301-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Dixie Hot Springs Northeast and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,600.0,Y,200,,,,,
NV,Telephone Well,CM61-BEAD-NV-CHU-0302-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Telephone Well and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,600.0,Y,200,,,,,
NV,Lone Rock Northwest,CM61-BEAD-NV-CHU-0303-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Lone Rock Northwest and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,600.0,Y,200,,,,,
NV,Hot Springs Flat,CM61-BEAD-NV-CHU-0304-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Hot Springs Flat and expects to have the project completed by 12/31/2026,L,N,0.0,0.0,1,9/3/2025,10/1/2025,12/31/2026,N,,1800.0,Y,0,,,,,
NV,Basque Summit,CM61-BEAD-NV-CHU-0305-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Basque Summit and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,600.0,Y,200,,,,,
NV,Parran,CM61-BEAD-NV-CHU-0306-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Parran and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,600.0,Y,200,,,,,
NV,Camp Creek Canyon,CM61-BEAD-NV-CHU-0307-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Camp Creek Canyon and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,1200.0,Y,400,,,,,
