location_id,project_id,classification,technology,upload_speed_anticipated,download_speed_anticipated,low_latency
1030193872,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
1030193874,CM61-BEAD-NV-PER-0771-1,0,61,20,100,1
1030193877,CM61-BEAD-NV-PER-0771-1,0,61,20,100,1
1030193878,CM61-BEAD-NV-PER-0771-1,0,61,20,100,1
1030193879,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
1030193880,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
1030193881,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
1030193882,CM61-BEAD-NV-PER-0771-1,0,61,20,100,1
1030193883,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
1030193884,CM61-BEAD-NV-PER-0771-1,0,61,20,100,1
1030193885,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
1030193886,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
1030193888,CM61-BEAD-NV-PER-0771-1,0,61,20,100,1
1030193890,CM61-BEAD-NV-PER-0771-1,0,61,20,100,1
1030193891,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
1030193892,CM61-BEAD-NV-PER-0771-1,0,61,20,100,1
1030193894,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
1030193895,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
1030193896,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
1030193897,CM61-BEAD-NV-PER-0771-1,0,61,20,100,1
1030193898,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
1030193899,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
1030193900,CM61-BEAD-NV-PER-0771-1,0,61,20,100,1
1030193901,CM61-BEAD-NV-PER-0771-1,0,61,20,100,1
1030193902,CM61-BEAD-NV-PER-0771-1,0,61,20,100,1
1030193903,CM61-BEAD-NV-PER-0771-1,0,61,20,100,1
1030193906,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
1030193907,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
1030193909,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
1030193910,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
1030193912,CM61-BEAD-NV-PER-0771-1,0,61,20,100,1
1030193915,CM61-BEAD-NV-PER-0771-1,0,61,20,100,1
1030193917,CM61-BEAD-NV-PER-0771-1,0,61,20,100,1
1030193918,CM61-BEAD-NV-PER-0771-1,0,61,20,100,1
1030193921,CM61-BEAD-NV-PER-0771-1,0,61,20,100,1
1030193922,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
1030193923,CM61-BEAD-NV-PER-0771-1,0,61,20,100,1
1030193924,CM61-BEAD-NV-PER-0771-1,0,61,20,100,1
1030193926,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
1030193927,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
1030193928,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
1030193929,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
1030193930,CM61-BEAD-NV-PER-0771-1,0,61,20,100,1
1030193931,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
1030193932,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
1030193933,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
1030193934,CM61-BEAD-NV-PER-0771-1,0,61,20,100,1
1030193935,CM61-BEAD-NV-PER-0771-1,0,61,20,100,1
1030193937,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
1030193938,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
1030193939,CM61-BEAD-NV-PER-0771-1,0,61,20,100,1
1030193940,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
1030193941,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
1030193942,CM61-BEAD-NV-PER-0771-1,0,61,20,100,1
1030193943,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
1030193945,CM61-BEAD-NV-PER-0771-1,0,61,20,100,1
1030193947,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
1030193948,CM61-BEAD-NV-PER-0771-1,0,61,20,100,1
1030193949,CM61-BEAD-NV-PER-0771-1,0,61,20,100,1
1030193950,CM61-BEAD-NV-PER-0771-1,0,61,20,100,1
1030193952,CM61-BEAD-NV-PER-0771-1,0,61,20,100,1
1030193953,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
1030193955,CM61-BEAD-NV-PER-0771-1,0,61,20,100,1
1030193956,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
1030193957,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
1030193958,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
1030193959,CM61-BEAD-NV-PER-0771-1,0,61,20,100,1
1030193960,CM61-BEAD-NV-PER-0771-1,0,61,20,100,1
1030193961,CM61-BEAD-NV-PER-0173-0,0,61,100,20,1
