location_id,classification,reason,non_bsl_code,location_type,financial_type,evidence_type,provider_id,technology,program,challenge_id,notes
1030193871,1,3,,,,,,,,,
1030193875,0,3,,,,,,,,,
1030193876,0,3,,,,,,,,,
1030193905,0,3,,,,,,,,,
1030193916,0,3,,,,,,,,,
1030193974,0,3,,,,,,,,,
1030193992,0,3,,,,,,,,,
1030194003,0,3,,,,,,,,,
1030194025,0,3,,,,,,,,,
1030194317,0,3,,,,,,,,,
1030194327,0,3,,,,,,,,,
1030194338,0,3,,,,,,,,,
1030194358,0,4,,,,X,0000130081,50,TBCP1,,
1030194368,0,4,,,,X,0000130081,50,TBCP1,,
1030194374,0,3,,,,,,,,,
1030194393,0,3,,,,,,,,,
1030194453,0,3,,,,,,,,,
1030194496,0,3,,,,,,,,,
1030194509,1,3,,,,,,,,,
1030194518,0,3,,,,,,,,,
1030194563,0,3,,,,,,,,,
1030194591,0,4,,,,X,0000130081,50,TBCP1,,
1030194593,0,3,,,,,,,,,
1030194597,0,3,,,,,,,,,
1030194602,0,3,,,,,,,,,
1030194615,0,3,,,,,,,,,
1030194651,0,3,,,,,,,,,
1030194670,0,3,,,,,,,,,
1030194740,0,3,,,,,,,,,
1030194742,0,3,,,,,,,,,
1030194790,0,3,,,,,,,,,
1030194832,0,3,,,,,,,,,
1030194839,0,3,,,,,,,,,
1030194868,0,4,,,,X,0000130081,50,TBCP1,,
1030194903,0,3,,,,,,,,,
1030194920,0,3,,,,,,,,,
1030194993,1,3,,,,,,,,,
1030195020,0,4,,,,X,0000130081,50,TBCP1,,
1030195050,0,4,,,,X,0000130081,50,TBCP1,,
1030195055,1,3,,,,,,,,,
1030195075,0,4,,,,X,0000130081,50,TBCP1,,
1030195157,0,3,,,,,,,,,
1030195205,0,4,,,,X,0000130081,50,TBCP1,,
1030195224,0,3,,,,,,,,,
1030195260,0,3,,,,,,,,,
1030195345,0,4,,,,X,0000130081,50,TBCP1,,
1030195385,0,3,,,,,,,,,
1030195386,0,4,,,,X,0000130081,50,TBCP1,,
1030195404,0,4,,,,X,0000130081,50,TBCP1,,
1030195410,0,3,,,,,,,,,
1030195411,0,4,,,,X,0000130081,50,TBCP1,,
1030195414,0,4,,,,X,0000130081,50,TBCP1,,
1030195421,0,4,,,,X,0000130081,50,TBCP1,,
1030195435,0,4,,,,X,0000130081,50,TBCP1,,
1030195447,0,3,,,,,,,,,
1030195473,0,3,,,,,,,,,
1030195520,0,3,,,,,,,,,
1030195521,0,3,,,,,,,,,
1030195523,0,4,,,,X,0000130081,50,TBCP1,,
1030195559,0,4,,,,X,0000130081,50,TBCP1,,
1030195570,0,3,,,,,,,,,
1030195583,0,4,,,,X,0000130081,50,TBCP1,,
1030195602,0,3,,,,,,,,,
1030195641,0,3,,,,,,,,,
1030195737,0,3,,,,,,,,,
1030195741,0,3,,,,,,,,,
1030195756,0,3,,,,,,,,,
1030195757,0,3,,,,,,,,,
1030195797,0,3,,,,,,,,,
1030195842,0,3,,,,,,,,,
1030195858,0,3,,,,,,,,,
1030195863,0,3,,,,,,,,,
1030195895,0,3,,,,,,,,,
1030195908,0,3,,,,,,,,,
1030195912,0,3,,,,,,,,,
1030195953,0,3,,,,,,,,,
1030195963,0,4,,,,X,0000130081,50,TBCP1,,
1030195984,0,4,,,,X,0000130081,50,TBCP1,,
1030196030,0,3,,,,,,,,,
1030196069,0,3,,,,,,,,,
1030196098,0,3,,,,,,,,,
1030196101,0,3,,,,,,,,,
1030196109,0,3,,,,,,,,,
1030196137,0,3,,,,,,,,,
1030196168,0,3,,,,,,,,,
1030196225,0,3,,,,,,,,,
1030196243,0,3,,,,,,,,,
1030198785,0,3,,,,,,,,,
1030199618,0,3,,,,,,,,,
1030200327,0,3,,,,,,,,,
1030200844,0,3,,,,,,,,,
1030201123,0,3,,,,,,,,,
1030201475,0,3,,,,,,,,,
1030201518,0,3,,,,,,,,,
1030201523,0,3,,,,,,,,,
1030201638,0,3,,,,,,,,,
1030201646,0,3,,,,,,,,,
1030202925,0,3,,,,,,,,,
1030203149,0,3,,,,,,,,,
1030204670,0,3,,,,,,,,,
1030205648,0,3,,,,,,,,,
1030205650,0,3,,,,,,,,,
1030205680,0,3,,,,,,,,,
1030205685,0,3,,,,,,,,,
1030206307,0,3,,,,,,,,,
1050914234,0,3,,,,,,,,,
1050914239,0,3,,,,,,,,,
1050914240,0,3,,,,,,,,,
1050914241,0,3,,,,,,,,,
1050914242,0,3,,,,,,,,,
1050914244,0,3,,,,,,,,,
1050914343,0,3,,,,,,,,,
1050914405,0,3,,,,,,,,,
1050914433,0,3,,,,,,,,,
1050914448,0,3,,,,,,,,,
1050914455,0,3,,,,,,,,,
1050914468,0,3,,,,,,,,,
1050914481,0,3,,,,,,,,,
1050914501,0,3,,,,,,,,,
1050914527,0,3,,,,,,,,,
1050914537,0,3,,,,,,,,,
1050914559,0,3,,,,,,,,,
1050914637,0,3,,,,,,,,,
1050914643,0,3,,,,,,,,,
1050914719,0,3,,,,,,,,,
1050914742,0,3,,,,,,,,,
1050914772,0,3,,,,,,,,,
1050914777,0,3,,,,,,,,,
1050914836,0,3,,,,,,,,,
1050914865,0,3,,,,,,,,,
1050914868,0,3,,,,,,,,,
1050914882,0,3,,,,,,,,,
1050914885,0,3,,,,,,,,,
1050914922,0,3,,,,,,,,,
1050914935,0,3,,,,,,,,,
1050914947,0,3,,,,,,,,,
1050914956,0,3,,,,,,,,,
1050914957,0,3,,,,,,,,,
1050914973,0,3,,,,,,,,,
1050914977,0,3,,,,,,,,,
1050914992,0,3,,,,,,,,,
1050914997,0,3,,,,,,,,,
1050915004,0,3,,,,,,,,,
1050915065,0,3,,,,,,,,,
1050915095,0,3,,,,,,,,,
1050915110,0,3,,,,,,,,,
1050915114,0,3,,,,,,,,,
1050915118,0,3,,,,,,,,,
1050915137,0,3,,,,,,,,,
1050915138,0,3,,,,,,,,,
1050915261,0,3,,,,,,,,,
1050915282,0,3,,,,,,,,,
1050915285,0,3,,,,,,,,,
1050915288,0,3,,,,,,,,,
1050915308,0,3,,,,,,,,,
1050915310,0,3,,,,,,,,,
1050915319,0,3,,,,,,,,,
1050915325,0,3,,,,,,,,,
1050915338,0,3,,,,,,,,,
1050915364,0,3,,,,,,,,,
1050915374,0,3,,,,,,,,,
1050915405,0,3,,,,,,,,,
