Company,Connections,Funding ($)
Amazon Kuiper Commercial Services,4891,14489500
Anthem Broadband of Nevada,1587,28696422.3
AT&T,819,18696569
Beehive Broadband,286,22025793.36
"Commnet of Nevada, LLC",5136,50622426
Cox Communications,3273,22905090
Digital Technology Solutions INC. Dba DTS Fiber,1244,22196547
E4 Connect,181,113336.17
Filer Mutual Telephone Company dba Truleap Technologies,75,3015843.77
"ISP INDUSTRIES, LLC dba ISP.NET",16,383202.93
Moapa Valley Telephone Company,449,2962450.85
Reno Sparks Indian Colony,162,4000000
Rural Telephone Company,865,13220046.8
Satview Broadband Ltd,76,4001127
SkyFiber Internet,12043,180619680.3
"Stimulus Technologies of Nevada, LLC",17073,142576242.2
"Valley Electric Association, Inc.",1461,11533546
"WeLink Communications, Inc.",1277,10021508
Zito Nevada LLC,693,1675419.09
,,
,51607,553754750.8
,0.094773965,0.026165915
