type,entity_name,location_id,project_id,address_primary,city,state,zip_code,latitude,longitude,technology,upload_speed_anticipated,download_speed_anticipated
P,AIDA BRENTS,1371539887,CM61-BEAD-NV-CLA-0967-0,2120 VEGAS DR,LAS VEGAS,NV,89106,36.189027,-115.171029,71,2000,2000
P,ALLEGIANCE APTS,1370872955,CM61-BEAD-NV-CLA-0967-0,3757 PECOS MCLEOD,LAS VEGAS,NV,89121,36.121028,-115.104984,71,2000,2000
P,APACHE PINES,1371031033,CM61-BEAD-NV-CLA-0970-1,9552 W TROPICANA AVE BLDG 2,LAS VEGAS,NV,89147,36.102321,-115.300432,40,2000,2000
P,ARCHIE GRANT,1370928956,CM61-BEAD-NV-CLA-0967-0,1720 SEARLES AVE,LAS VEGAS,NV,89101,36.183916,-115.125882,71,2000,2000
P,ARTHUR MCCANTS MANOR,1371416002,CM61-BEAD-NV-CLA-0967-0,800 N EASTERN AVE,LAS VEGAS,NV,89101,36.178161,-115.114996,71,2000,2000
P,BASSLER/MCCARRAN/STATZ,1371067842,CM61-BEAD-NV-CLA-0967-0,2411 BASSLER ST,N LAS VEGAS,NV,89030,36.203717,-115.111689,71,2000,2000
F,Beatty Volunteer Fire Station,1316421884,CM61-BEAD-NV-NYE-0620-0,300 W WARD ST,BEATTY,NV,89003,36.909151,-116.763077,50,1000,1000
P,BELMONT APTS.,1316450189,CM61-BEAD-NV-NYE-0860-1,1042 S MAIN ST,TONOPAH,NV,89049,38.060931,-117.218269,50,1000,1000
F,Beowawe Volunteer Fire Department,1080051965,CM61-BEAD-NV-EUR-0174-1,8 NV-306,CRESCENT VALLEY,NV,89821,40.591037,-116.477374,50,1000,1000
F,Bill Sullivan Justice Center,1316421598,CM61-BEAD-NV-NYE-0620-0,426 C AVE S,BEATTY,NV,89003,36.900975,-116.766608,50,1000,1000
P,BLANCHARD ARMS APTS,1371393499,CM61-BEAD-NV-CLA-0967-0,321 N 9TH ST,LAS VEGAS,NV,89101,36.170497,-115.134526,71,2000,2000
F,Bldg 2069 Fire Station,1371033614,CM61-BEAD-NV-CLA-0967-0,4100 E CHEYENNE AVE,LAS VEGAS,NV,89115,36.235211,-115.026964,71,2000,2000
P,BLEDSOE SUPPORTIVE HOUSING,1370891140,CM61-BEAD-NV-CLA-0967-0,2306 BLEDSOE LN,LAS VEGAS,NV,89156,36.201856,-115.054797,71,2000,2000
F,Blue Diamond Volunteer Fire Department,1371591341,CM61-BEAD-NV-CLA-0969-1,75 COTTONWOOD DR,LAS VEGAS,NV,89141,36.048146,-115.408033,71,2000,2000
P,BOB HOGAN SUPPORTIVE HOUSING,1371442296,CM61-BEAD-NV-CLA-0967-0,5075 NEWPORT COVE DR,LAS VEGAS,NV,89119,36.097462,-115.12642,71,2000,2000
P,BONANZA PINES III,1371248601,CM61-BEAD-NV-CLA-0967-0,4172 E BONANZA RD,LAS VEGAS,NV,89110,36.173979,-115.085116,71,2000,2000
P,BONANZA PINES SR APT,1371248608,CM61-BEAD-NV-CLA-0967-0,4170 E BONANZA RD,LAS VEGAS,NV,89110,36.174632,-115.085537,71,2000,2000
P,BONANZA VIEW APTS.,1371357643,CM61-BEAD-NV-CLA-0967-0,640 MCKNIGHT ST,LAS VEGAS,NV,89101,36.174916,-115.111842,71,2000,2000
P,BONNIE LANE,1371112596,CM61-BEAD-NV-CLA-0967-0,2047 BONNIE LN,LAS VEGAS,NV,89156,36.196948,-115.046911,71,2000,2000
P,BOULDER PINES,1371118018,CM61-BEAD-NV-CLA-0967-0,4375 BOULDER HWY,LAS VEGAS,NV,89121,36.126216,-115.077073,71,2000,2000
P,BOULDER PINES II,1371118018,CM61-BEAD-NV-CLA-0967-0,4375 BOULDER HWY,LAS VEGAS,NV,89121,36.126216,-115.077073,71,2000,2000
P,BRISTLECONE APTS.,1050915309,CM61-BEAD-NV-WHI-0991-1,1650 AVENUE F BLDG 2,ELY,NV,89301,39.25837,-114.857708,50,1000,1000
P,BRISTLECONE EAST APTS.,1050918474,CM61-BEAD-NV-WHI-0991-1,664 E 16TH ST,ELY,NV,89301,39.258065,-114.858466,50,1000,1000
P,BROWN HOMES,1394014415,CM61-BEAD-NV-CLA-0967-0,3900 PERRY ST,LAS VEGAS,NV,89122,36.117633,-115.061987,71,2000,2000
P,BROYLES RANCH APTS.,1095970814,CM61-BEAD-NV-LAN-1000-1,690 BROYLES RANCH RD,BATTLE MTN,NV,89820,40.642788,-116.948119,50,1000,1000
P,BUENA VISTA SPRINGS III,1371024938,CM61-BEAD-NV-CLA-0967-0,2510 MORTON AVE,N LAS VEGAS,NV,89032,36.204695,-115.16144,71,2000,2000
P,CALCATERRA APTS,1371022280,CM61-BEAD-NV-CLA-0967-0,485 CALCATERRA CIR,LAS VEGAS,NV,89119,36.11803,-115.15258,71,2000,2000
G,Carlin Administrative Building,1297899489,CM61-BEAD-NV-ELK-0786-0,151 8TH ST,CARLIN,NV,89822,40.71278,-116.106048,50,2000,2000
F,Carlin City Hall,1297899449,CM61-BEAD-NV-ELK-0786-0,152 8TH ST,CARLIN,NV,89822,40.712608,-116.106497,50,2000,2000
