location_id,project_id,classification,technology,upload_speed_anticipated,download_speed_anticipated,low_latency,extremely_high_cost_threshold
1371559082,CM61-BEAD-NV-CLA-0001-0,0,70,1000,1000,1,N
1371608183,CM61-BEAD-NV-CLA-0001-0,0,70,1000,1000,1,N
1394040788,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371555779,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371559608,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371555783,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371555728,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371555726,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371555736,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371555780,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371555727,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371555774,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371555754,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371079159,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371079164,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371555742,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371079213,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371079212,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371555746,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371555718,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371555719,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371555745,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1370871826,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1370871825,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371079235,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371237422,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371237409,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371237417,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371405145,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371555771,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371079211,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371079219,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371079166,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371079230,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371555775,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371079177,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371079195,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371079208,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371079205,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371237407,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371237432,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371079157,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371079165,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371079228,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371555735,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371555768,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371555772,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371079174,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371569514,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371569513,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371237412,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371555781,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371555724,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371555737,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371554451,CM61-BEAD-NV-CLA-0003-0,0,50,1000,1000,1,N
1371554450,CM61-BEAD-NV-CLA-0003-0,0,50,1000,1000,1,N
1371237418,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371555729,CM61-BEAD-NV-CLA-0003-0,1,50,1000,1000,1,N
1371559129,CM61-BEAD-NV-CLA-0004-0,0,50,1000,1000,1,N
1371563495,CM61-BEAD-NV-CLA-0004-0,0,50,1000,1000,1,N
1371580686,CM61-BEAD-NV-CLA-0004-0,0,50,1000,1000,1,N
1371561718,CM61-BEAD-NV-CLA-0004-0,0,50,1000,1000,1,N
1371561716,CM61-BEAD-NV-CLA-0004-0,0,50,1000,1000,1,N
1371598479,CM61-BEAD-NV-CLA-0004-0,0,50,1000,1000,1,N
1371580687,CM61-BEAD-NV-CLA-0004-0,0,50,1000,1000,1,N
1371598488,CM61-BEAD-NV-CLA-0004-0,0,50,1000,1000,1,N
1371585195,CM61-BEAD-NV-CLA-0004-0,0,50,1000,1000,1,N
1371563504,CM61-BEAD-NV-CLA-0004-0,0,50,1000,1000,1,N
1370830889,CM61-BEAD-NV-CLA-0004-0,0,50,1000,1000,1,N
1371580194,CM61-BEAD-NV-CLA-0004-0,0,50,1000,1000,1,N
1371580193,CM61-BEAD-NV-CLA-0004-0,0,50,1000,1000,1,N
1371363002,CM61-BEAD-NV-CLA-0004-0,0,50,1000,1000,1,N
1371362968,CM61-BEAD-NV-CLA-0004-0,0,50,1000,1000,1,N
1371362977,CM61-BEAD-NV-CLA-0004-0,0,50,1000,1000,1,N
1371558118,CM61-BEAD-NV-CLA-0004-0,0,50,1000,1000,1,N
1371580199,CM61-BEAD-NV-CLA-0004-0,0,50,1000,1000,1,N
1371580206,CM61-BEAD-NV-CLA-0004-0,0,50,1000,1000,1,N
1371580984,CM61-BEAD-NV-CLA-0004-0,0,50,1000,1000,1,N
1371556501,CM61-BEAD-NV-CLA-0004-0,0,50,1000,1000,1,N
1371584988,CM61-BEAD-NV-CLA-0004-0,0,50,1000,1000,1,N
1371362969,CM61-BEAD-NV-CLA-0004-0,0,50,1000,1000,1,N
1371363003,CM61-BEAD-NV-CLA-0004-0,0,50,1000,1000,1,N
1371362972,CM61-BEAD-NV-CLA-0004-0,0,50,1000,1000,1,N
1371573359,CM61-BEAD-NV-CLA-0004-0,0,50,1000,1000,1,N
1371363038,CM61-BEAD-NV-CLA-0006-1,0,50,1000,1000,1,N
1371363028,CM61-BEAD-NV-CLA-0006-1,0,50,1000,1000,1,N
1373160671,CM61-BEAD-NV-CLA-0006-1,0,50,1000,1000,1,N
1373160704,CM61-BEAD-NV-CLA-0006-1,0,50,1000,1000,1,N
1371555494,CM61-BEAD-NV-CLA-0006-1,0,50,1000,1000,1,N
1373160652,CM61-BEAD-NV-CLA-0006-1,0,50,1000,1000,1,N
1371555495,CM61-BEAD-NV-CLA-0006-1,0,50,1000,1000,1,N
1373160699,CM61-BEAD-NV-CLA-0006-1,0,50,1000,1000,1,N
1371579992,CM61-BEAD-NV-CLA-0007-1,0,50,1000,1000,1,N
