state,uei,uei_name,frn,non_traditional_broadband_provider,provider_type,wbe,mbe,sb,webpage
NV,PX3CHN4WCPG3,AMAZON KUIPER COMMERCIAL SERVICES LLC,0035927706,Y,N,N,N,N,https://www.aboutamazon.com/what-we-do/devices-services/project-kuiper
NV,Q69DNN3QN6C5,"ANTHEM BROADBAND OF NEVADA, LLC",0031476815,Y,N,N,N,Y,https://anthembroadband.com/
NV,UNKGTXGFU236,"NEVADA BELL TELEPHONE COMPANY, LLC",0001834696,Y,I,N,N,N,https://att.com
NV,P88MULZVED18,BEEHIVE BROADBAND,0004339800,Y,N,N,N,Y,https://beehive.net
NV,XNN2FU62BCK3,"COMMNET OF NEVADA, LLC",0018122879,Y,N,N,N,Y,https://www.commnetbroadband.com
NV,CBE3UMF6F5F1,COX NEVADA TELCOM LLC,0001834696,Y,N,N,N,N,https://www.cox.com/residential/home.html
NV,QXVYZFKU8AV5,"DIGITAL TECHNOLOGY SOLUTIONS, INC.",0027765866,Y,N,N,N,Y,https://www.dtsfiber.com
NV,DKN1ARHXMM25,FILER MUTUAL TELEPHONE COMPANY,0003801925,Y,I,N,N,Y,https://truleap.net/
NV,UY2KYX4JRE51,ISP INDUSTRIES LLC,0011563277,Y,N,N,N,Y,https://www.isp.net/
NV,EC32P4LXG6R3,MOAPA VALLEY TELEPHONE COMPANY,0004337648,Y,I,Y,N,Y,https://mvtel.com
NV,J527CC1YALL9,RENO-SPARKS INDIAN COLONY,0027904606,N,T,N,N,Y,https://rsic.org
NV,C446FQFZSM64,RURAL TELEPHONE COMPANY,0001551423,Y,I,N,N,Y,https://rtci.net/
NV,E9QDM8AGM7J5,SATVIEW BROADBAND LTD,0015817075,Y,N,Y,N,Y,https://www.satview.net
NV,TH77JLEPMRA3,HOT SPOT BROADBAND INC,0024866964,Y,N,N,N,Y,https://skyfiberinternet.com
NV,R2RBP98L72N7,"STIMULUS TECHNOLOGIES OF NEVADA, LLC",0020945390,Y,N,N,N,Y,https://www.stimulustech.com
NV,MSLKPMKNF5E6,VALLEY ELECTRIC ASSOCIATION INC,0026268516,N,C,N,N,Y,https://vea.coop/
NV,F4PPSWRYALA6,"WELINK COMMUNICATIONS, INC.",0027669977,Y,N,N,N,Y,https://welink.com/
NV,TCDES99KD3U6,"ZITO WEST HOLDING, LLC",0027133545,Y,N,N,N,Y,https://www.zitomedia.net
